panel	arm	tool	wall_h	wall_str	peak_rss_gb	style_tag	disclosure	registry_note_verbatim	source
a,b	SCAPTURE	SCAPTURE	12.228333		24.160272	competitor	two mandatory stages summed (PAScall 8:57:58 + PASquant 3:15:44); annotation prebuild not timed	competitor's own verified run on the same box (v1-era benchmark). two mandatory stages of one run (PAScall 8:57:58 + PASquant 3:15:44); annotation prebuild not timed	results/figures/manuscript/benchmark_headtohead.tsv (verified, manuscript/05) -> its RUNTIME registry entry, sourced from the tool's own run log
a,b	scAPAtrap	scAPAtrap	4.074722		14.999828	competitor	wall = the successful RESUMED run (4:04:29) after an OOM-killed first attempt skipped three stages; UNDERSTATES a from-scratch run (12:58:50 total machine time)	competitor's own verified run on the same box (v1-era benchmark). wall_h = the successful RESUMED run (4:04:29), which skipped three stages already done by an OOM-killed first attempt, so it UNDERSTATES a from-scratch run (12:58:50 total machine time across both); disclosed, not summed	results/figures/manuscript/benchmark_headtohead.tsv (verified, manuscript/05) -> its RUNTIME registry entry, sourced from the tool's own run log
a,b	PeakATail v1 (no-IP arm)	PeakATail	3.764722	3:45:53	293.736616	v1	single arm, --threads 16	final Stage-2 clip-seeded arm WITHOUT --ip-filter, code 4efeb125, --threads 16; paired with the v2 no-IP arm below so the Stage-1d comparison is like for like. NOT PLOTTED since 2026-09-02 -- see Fig S8 / Fig S12	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final/runtime_mem.txt
a,b	PeakATail v1 IP arm	PeakATail	3.743611	3:44:37	239.501880	v1	single arm, --threads 16 (the v1 default call set)	AUDIT ROW, not plotted: the IP-filtered v1 arm (the v1 default call set); matches 15 sec.5 (3:44:37 / 239.5 GB)	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_ipfilt/runtime_mem.txt
a,b	polyApipe	polyApipe	3.443611		13.723976	competitor	single clean run, exit 0	competitor's own verified run on the same box (v1-era benchmark). single clean run, exit 0	results/figures/manuscript/benchmark_headtohead.tsv (verified, manuscript/05) -> its RUNTIME registry entry, sourced from the tool's own run log
a,b	PeakATail shipped (coverage-only)	PeakATail	3.451667	3:27:05	105.546020	shipped	pre-clip-seeding caller, v1-era benchmark run	pre-clip-seeding caller, v1-era benchmark run. NOT PLOTTED since 2026-09-02	results/figures/manuscript/benchmark_headtohead.tsv (verified, manuscript/05)
a,b	Sierra	Sierra	2.732583		10.050780	competitor	regtools 18:53 + FindPeaks/CountPeaks 2:25:04, one clean run	competitor's own verified run on the same box (v1-era benchmark). regtools junctions extract 18:53.30 + FindPeaks/CountPeaks 2:25:04, one clean run	results/figures/manuscript/benchmark_headtohead.tsv (verified, manuscript/05) -> its RUNTIME registry entry, sourced from the tool's own run log
a,b	PeakATail v2 (no-IP arm)	PeakATail	0.577081	34:37.49	12.525316	v2	CONCURRENT: measured with all four arms running at once	code 9dfdefb, clip-seeded arm WITHOUT --ip-filter, --threads 16, measured with all four arms running concurrently; this is the 34:37 / 12.53 GB pair quoted in 19 sec.3. The IP-filtered default arm used in panels a-c was cheaper on both codes (audit rows below)	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2/runtime_mem.txt
a,b	PeakATail v2 IP arm	PeakATail	0.549828	32:59.38	11.117608	v2	CONCURRENT: measured with all four arms running at once	AUDIT ROW, not plotted: the IP-filtered v2 arm whose calls are in panels a-c; the 32:59 / 11.12 GB pair of 19 sec.3, also concurrent	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/runtime_mem.txt
a,b	scUTRquant	scUTRquant	0.512553		4.197760	competitor	25:52.06 snakemake run + 4:53.13 salvage rerun of 4 jobs after a missing-nbformat exit 1; both summed	competitor's own verified run on the same box (v1-era benchmark). 25:52.06 snakemake run + 4:53.13 salvage rerun of 4 jobs after a missing-nbformat exit 1; both attempts summed, none hidden	results/figures/manuscript/benchmark_headtohead.tsv (verified, manuscript/05) -> its RUNTIME registry entry, sourced from the tool's own run log
a,b	PeakATail v2, uncontended	PeakATail	0.461944	27:43	12.525316	v2u	single uncontended run (19 section 3; peak RSS not re-measured, v2 value shown)	single uncontended run quoted in 19 sec.3 (peak RSS not re-measured; v2 value reused). NOT PLOTTED since 2026-09-02 -- the concurrency caveat is a Legend sentence	manuscript/19_final_gate_v2.md section 3
