id	draft_loc	value	context	source	verdict	note
1	MAIN Abstract	0.706 / 0.745 / 0.757	atlas-agreement precision (P@100) of the pre-registered default, PBMC / mouse1 / mouse2	19 §1 (0.7062/0.7450/0.7572, verifier FIXED)	traced	rounded 3-dp forms of the verified values
2	MAIN Abstract	0.828	pbmc4k gate value, un-tuned	26 §R2 (0.8279, verifier FIXED)	traced	
3	MAIN Abstract	P >= 0.50, four libraries	gate passed on all four	13 §1 (gate); 26 verdict ("gate now holds on four libraries")	traced	
4	MAIN Abstract	0.013-0.022	gene-body-shuffled null range	19 §1 nulls 0.0217/0.0139/0.0138 + VERIFIED_v2 seeds 0.0127-0.0150 + 26 (0.0216-0.0222)	traced	range covers all 3-seed nulls of the four libraries
5	MAIN Abstract	R_det 0.175-0.208 (three benchmarked libraries) + 0.110 (second donor); denominators 285,136/126,686/268,097	detected-gene recall at the default, abstract (split by comparator scope, denominators named)	19 §1 (0.1754/0.2048/0.2080) + 26 (0.1104); denominators 25 §0 / 26 §R1	traced (FIXED, fix pass)	fix pass resolved the audit PI flag: range split so "below polyApipe's" now scopes only the three libraries polyApipe ran on; pbmc4k quoted separately; denominators named per the binding rule
6	MAIN Abstract	matched call count: leads polyApipe, recall every budget / precision from 20,320 calls upward	head-to-head one-liner, abstract compression	25 §8.1	traced (FIXED)	audit added "polyApipe" to name the comparator; unqualified "leads" was not licensed (25 §2.4 requires the de novo restriction or the named comparator); fix pass harmonised the precision bound to the 25 §8.7-licensed "from 20,320 upward" form (was "above 20,000 calls"), removing the 20,000-vs-20,320 inconsistency the review flagged
7	MAIN Abstract	76.5% / 25 bp / >=5 records	Kinnex concordance of default PBMC sites, donor-mismatched	16 §v2 REPORT row 00_input (0.7647 = 35,575/46,524); 21 §10.3	traced	">=5 records" wording per 21 §7 MUST-NOT-CLAIM 8
8	MAIN Abstract	3.0% / 13.0-24.7%	calibrated arm null p<0.05; shipped-default range	14 (B0 3.0%; A 20.3 / B 13.0 / C 24.7)	traced	
9	MAIN Abstract	15 libraries / 12 patients; 15,942 / 2,128,711	replication primary and headline counts	20 (naming convention; verified primary table)	traced	
10	MAIN Abstract	none in ten nulls, p <= 0.091, ten-permutation floor	null control wording	20 §null control (mandated wording)	traced	exact mandated phrasing; never an FDR
11	MAIN Abstract	31.4%/30.5%, z 10.5/6.4	testis monotone shortening	18 §v2 claim	traced	
12	MAIN Abstract	48.5% vs 70%	trusted-novel negative result	16 §v2 (0.4853)	traced	
13	MAIN Abstract	12.53 GB	peak RSS, 10k-cell library	19 §3	traced	
14	MAIN Key points	0.118 -> 0.7062	coverage-only vs clip-seeded on same BAM	21 C5; 15 §3 (shipped 0.118)	traced	
15	MAIN Key points	0.7062 / 0.7450 / 0.7572; 0.8279; 84.2%	gate values, second donor, cross-donor concordance	19 §1; 26	traced	
16	MAIN Key points	recall every budget / precision from 20,320 calls upward (vs polyApipe)	matched-N claim	25 §8.1	traced	comparator named in-sentence; fix pass harmonised to the 20,320 bound (25 §2.3.3/§8.7)
17	MAIN Key points	3.0%; 13.0-24.7%; one of six	calibration key point	14	traced	
