old_stem	new_stem	script	source_docs	status
fig1_overview	fig1_overview	scripts/manuscript_figures/fig1_overview.py	21 s4.2 gap 3; 19; 16; 13; 10; 23 s2 (clip rate 0.573% supersedes 1.152%)	done-v2-9dfdefb; stem unchanged (already on the unpadded convention); re-rendered 2026-09-02 only to repoint its panel-e source citation at fig3_tradeoff.tsv
final_benchmark	fig2_accuracy	scripts/manuscript_figures/fig2_accuracy.py	19_final_gate_v2.md (FIXED) + results/benchmark_tools/final_v2_verify/VERIFIED_v2.md; 25_competitive_position.md s2/s8 (matched-N framing); 15_final_gate.md (v1 record)	done-v2; renamed+regenerated 2026-09-02, audit TSVs byte-identical; FINAL_BENCHMARK_VERSION switch kept (v1 render reproducible); stale 'SCAPTURE is mouse 1 only' panel-b caption line fixed per 21 s11 (mouse-2 site-level run completed, 24076 points P@100 0.672; only PASquant failed)
trade_reproducibility	fig3_tradeoff	scripts/manuscript_figures/fig3_tradeoff.py	19_final_gate_v2.md s1/s3/s4/s5; 13_reliability_positioning.md s1; 12_stage2_gate.md CORRECTION	done-v2; renamed+regenerated 2026-09-02, audit TSVs byte-identical; FIG3_WORKDIR env var kept
fdr_calibration_v2	fig4_calibration	scripts/manuscript_figures/fig4_calibration.py	14_switch_calibration_v2.md (verified SOUND); results/fdr_calibration_v2/report.json	done-v2; renamed+regenerated 2026-09-02, audit TSVs byte-identical; script extended to write the previously missing caption sidecar and the 8-px edge check; optional sperm-v2 overlay only after gap 2 (never a v1 marker in a v2 panel, MUST-NOT-CLAIM 4); input run dir results/fdr_calibration_v2/ keeps its name
spermatogenesis_final	fig5_spermatogenesis	scripts/manuscript_figures/fig5_spermatogenesis.py	18_spermatogenesis_final.md v2 section (SOUND 2026-09-02; merged code 9dfdefb3); results/stage3_spermatogenesis_v2/	v2-RECORD submission-ready: the 9dfdefb3 re-run landed 2026-09-02 and was adversarially verified to the digit (18 v2 section) — 21 gap 2 cleared; script default SPERMATOGENESIS_VERSION=v2, v1 render (4efeb125, results/stage3_spermatogenesis_final/) reproducible with =v1; caption script-written and version-selected; provenance guard strings assert 18's v2-section wording (p 0.0039, 0/40 draws) and, under =v1, the retained v1 wording (p 0.0125, 1/40)
laughney_switches	fig6_cohort	scripts/manuscript_figures/fig6_cohort.py	20_stage3_replication.md (SOUND 2026-08-22, v2_code default)	done-v2_code; renamed+regenerated 2026-09-02, audit TSVs byte-identical; LAUGHNEY_SWITCHES_VERSION switch kept; caveats travel: 'none replicated in 10 label-shuffle nulls' is never an FDR; no named-gene list until issue #99
cohort_qc	figS1_datasets	cohort_qc.py (retired record; only figure script with no NAME constant) -> NEW figS1_datasets.py	04_datasets.md; 10 sR2; 23 s2 (0.573% genome-wide clip rate); v2 run_config/run_manifest JSONs; cohort manifest	retired 21 D5/s4.3: headline is a tautology of the upstream TIER filter and the 16500-site 17/17 intersection is used by no analysis (switch analysis runs in the 115450-PAS unified space, 05 s1); replaced by figS1_datasets (TO BUILD); surviving 05 s1 caveats transfer to figS1
(none)	figS2_peakqc	NEW figS2_peakqc.py	07 s3 (~90-105 nt cleavage offset); v2 pas_support.tsv; scripts/paramsweep offset-census scripts (prime TASK E)	to-build; arm always named per MUST-NOT-CLAIM 8
null_control	figS3_nulldesign	null_control.py -> figS3_nulldesign.py (REBUILD; not yet executed)	05 s5 (FIXED, superseded record); 07; 21 s4.3-S4 preconditions	rebuild-pending, TWO MANDATORY PRECONDITIONS: (i) reconcile the 0.753 vs 0.615 null conflict to score_tool.py's gene-body-shuffled null (gap 7); (ii) recompute all density figures on the curated PolyASite 2.0 point reference - the 23/33/45/61/73% and 'every 168 bp' numbers are 18.4M-dump-derived and MUST NOT be carried over; current null_control.png/.tsv stay only as the superseded record, no number from them may reach the paper
benchmark_strategies	(retired; one lesson absorbed by figS3_nulldesign)	benchmark_strategies.py (kept for the record)	05 s4 (FIXED, superseded)	retired-as-figure (21 D5): 18.4M-dump precision 0.996-1.000 spread <0.004 cannot rank strategies; its null (0.753) contradicts null_control's (0.615) - gap 7; durable lesson (the dump cannot rank what the curated point reference can, 0.355-0.492) moves into figS3_nulldesign
