event	timestamp	kind	verdict	label	display_note	source
orig_gate	2026-08-19 (date; no clock time in 10)	prereg		ORIGINAL two-sided gate pre-registered (10 §5): P@100 ≥ 0.38 AND F1_det > 0.261 (PBMC)	display position 12:00	manuscript/10_caller_fix_plan.md section 5 / 'Definition of done' (dated 2026-08-19)
stage2_fail	2026-08-20 (date; no clock time in 12)	fail	FAIL	stale Stage-2 PBMC run (12): under the FULL gate NO arm passes (best P 0.362 < 0.38) — FAIL	display position 12:00	manuscript/12_stage2_gate.md (run 2026-08-20; CORRECTED 2026-08-21)
sweep	sweep dir created 12 min after the FAIL was recorded (12 CORRECTION §1); section added 2026-08-21	disclosure		post-hoc ≥2-clip sweep — created 12 min after the FAIL was recorded; 'post hoc, full stop' (12 CORRECTION). Informed the threshold; DISCLOSED, never a result	display position 00:30 — clock not recorded; ordered before the 01:18:59 commit per 15	manuscript/12_stage2_gate.md 'Post-hoc sensitivity' + CORRECTION section 1
default_commit	2026-08-21 01:18:59 (verified from git, 15)	prereg		precision-first default (tier-1 ∩ IP ∩ ≥2 mol) + gate P@100 ≥ 0.50 ×3 committed `0e27b1a` 01:18:59 (13 §1) — arms started 1:40:37 LATER		manuscript/13_reliability_positioning.md section 1; manuscript/15_final_gate.md (git-verified)
v1_run	2026-08-21 02:59:36 - 06:46	run	PASS+FAIL	v1 final arms, code 4efeb125 (15, SOUND): 0.50 gate PASS ×3 (0.7167/0.7414/0.7554); original 0.38 floor FAIL (all ≥1-mol arms; F1 half passes)		manuscript/15_final_gate.md sections 1-2
v2_run	2026-08-21 16:14 - 16:50	run	PASS+FAIL	v2 re-run, code 9dfdefb (#96+#97), gates UNCHANGED (19, FIXED): 0.50 gate PASS ×3 (0.7062/0.7450/ 0.7572); 0.38 floor still FAIL on P		manuscript/19_final_gate_v2.md sections 1-2
utr_prereg	2026-08-21 (clock time not recorded in 27)	prereg	PENDING	3'UTR singleton promotion pre-registered (27): rule, arms, falsifiers fixed; discovery data disqualified — still UNTESTED	display position 20:00	manuscript/27_utr_singleton_prereg.md (status header)
prime_prereg	2026-08-21, last write 23:34 (26's cross-reference)	prereg		prime adoption criterion pre-registered (24 §3.1): ΔP ≥ −0.005 & ΔR ≥ +0.010 & ΔF1 > 0, on all three		manuscript/24_prime_preregistration.md; write time per manuscript/26 preamble
donor2_prereg	2026-08-21 23:47-23:53; driver frozen 23:48:30	prereg		second-donor test pre-registered (26): same gate/scorer/nulls, nothing retunable — BEFORE any pbmc4k number existed		manuscript/26_second_donor_preregistration.md (preamble + A1 + verifier record)
donor2_run	2026-08-22 00:07:45 - 00:23:26; verifier FIXED same day	run	PASS	pbmc4k run, frozen 9dfdefb3 (26): gate P@100 ≥ 0.50 PASS at 0.8279 (38× null) — 4th library; verifier FIXED		manuscript/26_second_donor_preregistration.md R1-R4 + V
amendment3	2026-08-23 (date; no clock time in 24)	identity	FAIL (identity)	Amendment 3 (24): prime default byte-identical to v2's arm → criterion FAILS at Δ 0.000000 — an identity, not a regression; criterion targeted a v2 default that never existed	display position 12:00	manuscript/24_prime_preregistration.md Amendment 3 (2026-08-23)
